name,created_at,location,statuses_count,followers_count,favourites_count,friends_count,lang,dataset
pirfectmoses,3489,624,24,4,16,588,en,1
SAK Nair,4347,614,656,57,597,693,en,1
Deepak,4220,544,1234,15,1150,104,en,1
Marcos Vinicius,4181,1000,573,14,530,227,en,1
Shri Kant Kanaujia,4074,1511,675,18,653,519,en,1
 Shree vishnu.M,3997,148,1333,73,1262,1998,en,1
crystyane,3834,553,99,26,80,1548,es,1
shashank shukla,3694,962,553,63,497,1930,en,1
santosh nayak,3620,975,1576,8,1402,501,en,1
DATTARAM  PARAB,3597,667,1378,48,1108,1998,en,1
suraj jadhao,3522,1391,1444,35,1283,390,en,1
Nirmal,3348,861,1351,7,1273,328,en,1
Rochell Camacho,3200,330,43,17,0,641,en,1
Thomasena Frank,3200,541,50,20,0,630,en,1
Arnetta Whitfield,3200,75,68,22,0,602,en,1
Tonia Jacobs,3200,1668,60,14,0,592,en,1
Kasandra Bentley,3200,999,52,27,0,620,en,1
Stefania Sears,3200,1576,67,32,0,639,en,1
Shamika Stark,3200,1570,44,21,0,614,en,1
Esperanza Maxwell,3200,1515,66,23,0,650,en,1
Janina Castro,3200,1345,56,20,0,643,en,1
Myrtle Bowman,3200,406,65,23,0,641,en,1
Genevieve Page,3200,75,79,20,0,779,en,1
Awilda Fox,3200,1396,59,16,0,622,en,1
Margarite Robles,3200,237,64,15,0,649,en,1
Delila Keller,3200,645,81,29,0,756,en,1
Iris Wiggins,3200,1361,62,25,0,600,en,1
Izola Tillman,3200,51,70,22,0,621,en,1
Brian Dickson,3200,1327,52,19,0,735,en,1
Lamont Church,3200,1343,69,25,0,625,en,1
Coleen Bass,3200,547,57,20,0,621,en,1
Christoper Berger,3200,449,45,12,0,638,en,1
Heike Mathews,3200,824,57,16,0,631,en,1
Carlota Scott,3200,271,66,29,0,623,en,1
Jenelle Gilmore,3200,825,56,19,0,686,en,1
Candra Dale,3200,581,59,24,0,619,en,1
Travis Harris,3200,1635,58,23,0,603,en,1
Elvie Carlson,3200,1222,57,27,0,602,en,1
Kerry Fletcher,3200,109,55,21,0,614,en,1
Renay Kirby,3200,1466,59,16,0,599,en,1
Esteban Owens,3200,1218,63,20,0,663,en,1
Kaitlyn Oliver,3200,516,62,24,0,598,en,1
Malvina Riddle,3200,786,54,16,0,637,en,1
Corie Watts,3200,659,56,17,0,684,en,1
Nida Douglas,3200,802,42,21,0,609,en,1
Sydney Harmon,3200,82,78,28,0,732,en,1
Babara Potts,3200,761,62,16,0,630,en,1
Leopoldo Hess,3200,1481,59,17,0,654,en,1
Haley Wall,3200,411,54,18,0,638,en,1
Maryanna Wise,3200,482,63,27,0,652,en,1
Christel Grimes,3200,923,48,23,0,599,en,1
Kirstin Morales,3200,499,69,20,0,652,en,1
Marylyn Phelps,3200,1676,61,22,0,609,en,1
Krystal Bradshaw,3200,1307,81,23,0,807,en,1
Thalia Farrell,3200,871,64,24,0,638,en,1
Nathaniel Cooke,3200,1596,63,26,0,593,en,1
Wade Martinez,3200,237,62,22,0,671,en,1
Jerica Marsh,3200,718,57,29,0,673,en,1
Patsy Weiss,3200,1393,63,20,0,630,en,1
Dusti Butler,3200,880,66,20,0,722,en,1
Clara Gillespie,3200,283,61,17,0,610,en,1
Margit Roy,3200,1079,70,24,0,655,en,1
Shad Schroeder,3200,743,60,12,0,572,en,1
Dorris Mcdowell,3200,324,70,27,0,669,en,1
Jeanette Bruce,3200,356,65,20,0,610,en,1
Carylon Conrad,3200,838,62,42,0,651,en,1
Caryn Diaz,3200,390,83,27,0,801,en,1
Willodean Boyd,3200,1478,54,31,0,599,en,1
Kittie Hobbs,3200,1447,158,30,0,1221,en,1
Callie Gilmore,3200,170,53,22,0,589,en,1
Ellen Williams,3200,1600,66,30,0,748,en,1
Erasmo Hunt,3200,1126,61,23,0,721,en,1
Frida Holland,3200,660,56,27,0,585,en,1
Loren Cabrera,3200,718,67,21,0,639,en,1
Nicolas Harmon,3200,272,53,26,0,504,en,1
Kendall Barker,3200,927,81,26,0,703,en,1
Hilde Armstrong,3200,334,66,11,0,615,en,1
Luz Lloyd,3200,523,56,23,0,641,en,1
Angila Watson,3200,684,66,22,0,581,en,1
Maud Deleon,3200,1595,56,19,1,681,en,1
Marlene Barr,3200,705,64,19,0,594,en,1
Val Perkins,3200,395,58,35,0,665,en,1
Keitha Weber,3200,508,72,25,0,564,en,1
Elda Ochoa,3200,1494,77,21,0,581,en,1
Luci Sims,3200,905,60,19,0,606,en,1
Lashell Albert,3200,1055,60,28,0,579,en,1
Paola Mercado,3200,382,65,27,0,617,en,1
Bradley Cherry,3200,90,66,25,0,731,en,1
Ezra Mckinney,3200,16,69,24,0,645,en,1
Marvel Nunez,3200,1200,63,32,0,603,en,1
Todd Morrow,3200,788,59,13,0,542,en,1
Enrique Walter,3200,1529,57,13,0,568,en,1
Celine Ortiz,3200,1097,75,22,0,578,en,1
Larhonda Forbes,3200,1674,61,18,0,624,en,1
Aretha White,3200,660,72,34,0,685,en,1
Florance Shaw,3200,328,56,19,0,599,en,1
Janay Wiley,3200,1514,45,26,0,596,en,1
Rayna Hubbard,3200,855,54,26,0,629,en,1
Enriqueta Keith,3200,215,52,18,0,608,en,1
Leon Moses,3200,897,53,11,0,586,en,1
Mellissa Briggs,3200,1520,63,31,0,507,en,1
Candace Gordon,3200,1133,54,24,0,672,en,1
Lelah Oliver,3200,766,54,17,0,558,en,1
Darline Booker,3200,1307,65,25,0,742,en,1
Nga Ware,3200,1280,46,16,0,591,en,1
Cherie Dawson,3200,199,48,28,0,582,en,1
Cyndi Cohen,3200,279,58,15,0,616,en,1
Stephane Rollins,3200,1037,61,23,0,635,en,1
Larhonda Harris,3200,999,60,18,0,625,en,1
Evelyne Jacobson,3200,1508,61,16,0,688,en,1
Venus Oconnor,3200,120,80,23,0,589,en,1
Wendolyn Evans,3200,390,56,21,0,550,en,1
Renae Hamilton,3200,857,70,26,1,709,en,1
Mozella Ellison,3200,1087,71,20,0,528,en,1
Marketta Aguirre,3200,387,58,19,0,583,en,1
Garnet Baird,3200,1176,107,33,0,1002,en,1
Crystle Chambers,3200,545,68,30,0,560,en,1
Kathrin Armstrong,3200,1677,54,24,0,592,en,1
Rodolfo Pearson,3200,835,37,23,0,559,en,1
Evette Branch,3200,31,53,22,0,622,en,1
Rocio Haney,3200,1569,67,24,0,678,en,1
Carli Cochran,3200,495,46,24,0,589,en,1
Daine Dillard,3200,114,60,27,0,566,en,1
Elease Chen,3200,1138,58,26,0,559,en,1
In Conner,3200,74,48,20,0,590,en,1
Bettina Campbell,3200,458,65,23,0,590,en,1
Hyon Padilla,3200,1355,56,22,0,541,en,1
